img1,img2,label
/Extracted_Faces/72/0.jpg,/Extracted_Faces/72/1.jpg,1
/Extracted_Faces/612/0.jpg,/Extracted_Faces/612/1.jpg,1
/Extracted_Faces/871/0.jpg,/Extracted_Faces/871/1.jpg,1
/Extracted_Faces/973/3.jpg,/Extracted_Faces/973/0.jpg,1
/Extracted_Faces/973/3.jpg,/Extracted_Faces/973/2.jpg,1
/Extracted_Faces/973/3.jpg,/Extracted_Faces/973/1.jpg,1
/Extracted_Faces/555/3.jpg,/Extracted_Faces/555/0.jpg,1
/Extracted_Faces/555/3.jpg,/Extracted_Faces/555/6.jpg,1
/Extracted_Faces/555/3.jpg,/Extracted_Faces/555/12.jpg,1
/Extracted_Faces/1106/3.jpg,/Extracted_Faces/1106/0.jpg,1
/Extracted_Faces/1106/3.jpg,/Extracted_Faces/1106/2.jpg,1
/Extracted_Faces/1106/3.jpg,/Extracted_Faces/1106/4.jpg,1
/Extracted_Faces/559/18.jpg,/Extracted_Faces/559/3.jpg,1
/Extracted_Faces/559/18.jpg,/Extracted_Faces/559/23.jpg,1
/Extracted_Faces/559/18.jpg,/Extracted_Faces/559/0.jpg,1
/Extracted_Faces/183/3.jpg,/Extracted_Faces/183/0.jpg,1
/Extracted_Faces/183/3.jpg,/Extracted_Faces/183/2.jpg,1
/Extracted_Faces/183/3.jpg,/Extracted_Faces/183/4.jpg,1
/Extracted_Faces/227/0.jpg,/Extracted_Faces/227/1.jpg,1
/Extracted_Faces/719/18.jpg,/Extracted_Faces/719/3.jpg,1
/Extracted_Faces/719/18.jpg,/Extracted_Faces/719/23.jpg,1
/Extracted_Faces/719/18.jpg,/Extracted_Faces/719/0.jpg,1
/Extracted_Faces/1120/3.jpg,/Extracted_Faces/1120/0.jpg,1
/Extracted_Faces/1120/3.jpg,/Extracted_Faces/1120/2.jpg,1
/Extracted_Faces/1120/3.jpg,/Extracted_Faces/1120/1.jpg,1
/Extracted_Faces/161/0.jpg,/Extracted_Faces/161/1.jpg,1
/Extracted_Faces/118/0.jpg,/Extracted_Faces/118/1.jpg,1
/Extracted_Faces/896/3.jpg,/Extracted_Faces/896/0.jpg,1
/Extracted_Faces/896/3.jpg,/Extracted_Faces/896/6.jpg,1
/Extracted_Faces/896/3.jpg,/Extracted_Faces/896/2.jpg,1
/Extracted_Faces/991/3.jpg,/Extracted_Faces/991/0.jpg,1
/Extracted_Faces/991/3.jpg,/Extracted_Faces/991/2.jpg,1
/Extracted_Faces/991/3.jpg,/Extracted_Faces/991/1.jpg,1
/Extracted_Faces/1412/0.jpg,/Extracted_Faces/1412/2.jpg,1
/Extracted_Faces/1412/0.jpg,/Extracted_Faces/1412/1.jpg,1
/Extracted_Faces/1412/2.jpg,/Extracted_Faces/1412/1.jpg,1
/Extracted_Faces/374/0.jpg,/Extracted_Faces/374/2.jpg,1
/Extracted_Faces/374/0.jpg,/Extracted_Faces/374/1.jpg,1
/Extracted_Faces/374/2.jpg,/Extracted_Faces/374/1.jpg,1
/Extracted_Faces/983/0.jpg,/Extracted_Faces/983/1.jpg,1
/Extracted_Faces/562/0.jpg,/Extracted_Faces/562/1.jpg,1
/Extracted_Faces/661/0.jpg,/Extracted_Faces/661/1.jpg,1
/Extracted_Faces/56/0.jpg,/Extracted_Faces/56/1.jpg,1
/Extracted_Faces/1597/3.jpg,/Extracted_Faces/1597/0.jpg,1
/Extracted_Faces/1597/3.jpg,/Extracted_Faces/1597/6.jpg,1
/Extracted_Faces/1597/3.jpg,/Extracted_Faces/1597/2.jpg,1
/Extracted_Faces/958/0.jpg,/Extracted_Faces/958/1.jpg,1
/Extracted_Faces/903/0.jpg,/Extracted_Faces/903/1.jpg,1
/Extracted_Faces/219/0.jpg,/Extracted_Faces/219/2.jpg,1
/Extracted_Faces/219/0.jpg,/Extracted_Faces/219/1.jpg,1
/Extracted_Faces/219/2.jpg,/Extracted_Faces/219/1.jpg,1
/Extracted_Faces/567/0.jpg,/Extracted_Faces/567/1.jpg,1
/Extracted_Faces/388/3.jpg,/Extracted_Faces/388/0.jpg,1
/Extracted_Faces/388/3.jpg,/Extracted_Faces/388/2.jpg,1
/Extracted_Faces/388/3.jpg,/Extracted_Faces/388/1.jpg,1
/Extracted_Faces/713/0.jpg,/Extracted_Faces/713/1.jpg,1
/Extracted_Faces/1539/0.jpg,/Extracted_Faces/1539/1.jpg,1
/Extracted_Faces/579/3.jpg,/Extracted_Faces/579/0.jpg,1
/Extracted_Faces/579/3.jpg,/Extracted_Faces/579/2.jpg,1
/Extracted_Faces/579/3.jpg,/Extracted_Faces/579/4.jpg,1
/Extracted_Faces/1079/0.jpg,/Extracted_Faces/1079/1.jpg,1
/Extracted_Faces/196/0.jpg,/Extracted_Faces/196/1.jpg,1
/Extracted_Faces/620/3.jpg,/Extracted_Faces/620/0.jpg,1
/Extracted_Faces/620/3.jpg,/Extracted_Faces/620/2.jpg,1
/Extracted_Faces/620/3.jpg,/Extracted_Faces/620/1.jpg,1
/Extracted_Faces/971/0.jpg,/Extracted_Faces/971/1.jpg,1
/Extracted_Faces/1598/0.jpg,/Extracted_Faces/1598/1.jpg,1
/Extracted_Faces/720/3.jpg,/Extracted_Faces/720/0.jpg,1
/Extracted_Faces/720/3.jpg,/Extracted_Faces/720/2.jpg,1
/Extracted_Faces/720/3.jpg,/Extracted_Faces/720/1.jpg,1
/Extracted_Faces/1487/3.jpg,/Extracted_Faces/1487/0.jpg,1
/Extracted_Faces/1487/3.jpg,/Extracted_Faces/1487/2.jpg,1
/Extracted_Faces/1487/3.jpg,/Extracted_Faces/1487/1.jpg,1
/Extracted_Faces/1616/18.jpg,/Extracted_Faces/1616/3.jpg,1
/Extracted_Faces/1616/18.jpg,/Extracted_Faces/1616/0.jpg,1
/Extracted_Faces/1616/18.jpg,/Extracted_Faces/1616/6.jpg,1
/Extracted_Faces/1569/3.jpg,/Extracted_Faces/1569/0.jpg,1
/Extracted_Faces/1569/3.jpg,/Extracted_Faces/1569/2.jpg,1
/Extracted_Faces/1569/3.jpg,/Extracted_Faces/1569/1.jpg,1
/Extracted_Faces/861/0.jpg,/Extracted_Faces/861/1.jpg,1
/Extracted_Faces/1113/3.jpg,/Extracted_Faces/1113/0.jpg,1
/Extracted_Faces/1113/3.jpg,/Extracted_Faces/1113/6.jpg,1
/Extracted_Faces/1113/3.jpg,/Extracted_Faces/1113/2.jpg,1
/Extracted_Faces/992/3.jpg,/Extracted_Faces/992/0.jpg,1
/Extracted_Faces/992/3.jpg,/Extracted_Faces/992/2.jpg,1
/Extracted_Faces/992/3.jpg,/Extracted_Faces/992/1.jpg,1
/Extracted_Faces/1264/3.jpg,/Extracted_Faces/1264/0.jpg,1
